external_compound_id,preferred_name,compound_family,strict_inclusion_class,direct_fks_inhibitory_evidence_rows,all_candidate_activity_rows_for_included_compound,mechanism_scope,fks1_specificity,smiles_canonical,inchikey,source_ids,manual_decision,manual_note,review_priority
EXT-FKS-0035,CHEMBL437803,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,12,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,OXVVQYCKEAJWFA-QVCGFCSKSA-N,ChEMBL:CHEMBL437803,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0171,CHEMBL269311,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,6,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,DQXPFAADCTZLNL-ZESADUFFSA-N,ChEMBL:CHEMBL269311,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0043,FR-901469,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,6,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCCCCCCCCCCCC[C@@H]1CC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@H](C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](C(C)C)C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N2CC[C@H](O)[C@H]2C(=O)N[C@@H]([C@H](O)CC(N)=O)C(=O)NCC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CCCN)C(=O)O1,LTLDDYQPSWDOBJ-UNEDFBIISA-N,ChEMBL:CHEMBL438198,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0194,CHALCONE,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,3,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,O=C(/C=C/c1ccccc1)c1ccccc1,DQFBYFPFKXHELB-VAWYXSNFSA-N,ChEMBL:CHEMBL7976,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0050,CHEMBL267988,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,3,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,DQXPFAADCTZLNL-JQMOYGRJSA-N,ChEMBL:CHEMBL267988,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0051,CHEMBL385455,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,3,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)NC1C[C@@H](O)[C@@H](OCCN)NC(=O)C2CN(C[C@@H]2O)C(=O)[C@H]([C@H](O)CCNC(=O)[C@@H](N)CCCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)C2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,AEXQBFYJTRESJP-ATBNLJFASA-N,ChEMBL:CHEMBL385455,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0052,CHEMBL405670,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,3,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)NC1C[C@@H](O)[C@@H](OCCN)NC(=O)C2CN(C[C@@H]2O)C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)C2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,VCZHYLFAPHFKOG-INQNAKBFSA-N,ChEMBL:CHEMBL405670,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0053,CHEMBL407395,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,3,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)c(NC(=O)CCN)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,JJROYJWMNBLAMS-QLHUPYNXSA-N,ChEMBL:CHEMBL407395,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0054,CHEMBL412195,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,3,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)c(NC(=O)CCC(=O)O)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,YOFKROYRHKSFSI-XAZRDIKZSA-N,ChEMBL:CHEMBL412195,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0055,CHEMBL414690,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,3,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)c(NC(=O)CN)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,JEFYZWMIOKCYDC-JUAGRKTBSA-N,ChEMBL:CHEMBL414690,,,P1_verify_direct_inhibition_evidence
