external_activity_id,external_compound_id,preferred_name,endpoint_type,endpoint_value,endpoint_relation,unit,converted_value_uM,p_activity,organism,strain,target_name,target_gene,target_organism,assay_type,assay_method,assay_context,serum_or_protein,medium,duration_h,temperature_c,endpoint_definition,target_confidence,mechanism_confidence,activity_relevance_tier,source_id,source_database,source_reference,source_quote,curation_status,comments
EXT-ACT-000071,EXT-FKS-0001,CASPOFUNGIN,IC50,0.00192,=,ug.mL-1,0.0017561,8.75545,,,Unchecked,,,biochemical,Inhibition of Candida glabrata ATCC 90030 wild type FKS,enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000043,ChEMBL,CHEMBL1255422;Antimicrob Agents Chemother 2010;CHEMBL1264565,Inhibition of Candida glabrata ATCC 90030 wild type FKS,imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1264565_offset_0.json.
EXT-ACT-000072,EXT-FKS-0003,MICAFUNGIN,IC50,0.00071,=,ug.mL-1,0.00055893,9.252645,,,Unchecked,,,biochemical,Inhibition of Candida glabrata ATCC 90030 wild type FKS,enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000043,ChEMBL,CHEMBL1255422;Antimicrob Agents Chemother 2010;CHEMBL1264565,Inhibition of Candida glabrata ATCC 90030 wild type FKS,imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1264565_offset_0.json.
EXT-ACT-000073,EXT-FKS-0002,ANIDULAFUNGIN,IC50,0.00192,=,ug.mL-1,0.00168384,8.773699,,,Unchecked,,,biochemical,Inhibition of Candida glabrata ATCC 90030 wild type FKS,enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000043,ChEMBL,CHEMBL1255422;Antimicrob Agents Chemother 2010;CHEMBL1264565,Inhibition of Candida glabrata ATCC 90030 wild type FKS,imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1264565_offset_0.json.
EXT-ACT-000074,EXT-FKS-0002,ANIDULAFUNGIN,IC50,3.189,=,ug.mL-1,2.7967551,5.553346,,,Unchecked,,,biochemical,Inhibition of Candida glabrata ATCC 90030 wild type FKS,enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000043,ChEMBL,CHEMBL1255422;Antimicrob Agents Chemother 2010;CHEMBL1264565,Inhibition of Candida glabrata ATCC 90030 wild type FKS,imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1264565_offset_0.json.
EXT-ACT-000081,EXT-FKS-0001,CASPOFUNGIN,IC50,0.0005,=,ug.mL-1,0.00045732,9.339781,,,Unchecked,,,biochemical,Inhibition of Candida albicans ATCC 90028 wild type FKS,enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000046,ChEMBL,CHEMBL1255422;Antimicrob Agents Chemother 2010;CHEMBL1264568,Inhibition of Candida albicans ATCC 90028 wild type FKS,imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1264568_offset_0.json.
EXT-ACT-000082,EXT-FKS-0003,MICAFUNGIN,IC50,0.0188,=,ug.mL-1,0.01479977,7.829745,,,Unchecked,,,biochemical,Inhibition of Candida albicans ATCC 90028 wild type FKS,enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000046,ChEMBL,CHEMBL1255422;Antimicrob Agents Chemother 2010;CHEMBL1264568,Inhibition of Candida albicans ATCC 90028 wild type FKS,imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1264568_offset_0.json.
EXT-ACT-000083,EXT-FKS-0002,ANIDULAFUNGIN,IC50,0.0005,=,ug.mL-1,0.0004385,9.35803,,,Unchecked,,,biochemical,Inhibition of Candida albicans ATCC 90028 wild type FKS,enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000046,ChEMBL,CHEMBL1255422;Antimicrob Agents Chemother 2010;CHEMBL1264568,Inhibition of Candida albicans ATCC 90028 wild type FKS,imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1264568_offset_0.json.
EXT-ACT-000090,EXT-FKS-0003,MICAFUNGIN,IC50,0.4014,=,ug.mL-1,0.31599084,6.500326,,,Unchecked,,,biochemical,Inhibition of Candida tropicalis CT-C1 wild type FKS,enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000049,ChEMBL,CHEMBL1255422;Antimicrob Agents Chemother 2010;CHEMBL1264571,Inhibition of Candida tropicalis CT-C1 wild type FKS,imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1264571_offset_0.json.
EXT-ACT-000091,EXT-FKS-0002,ANIDULAFUNGIN,IC50,14.26,=,ug.mL-1,12.50602938,4.902881,,,Unchecked,,,biochemical,Inhibition of Candida glabrata CG-C2 wild type FKS,enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000050,ChEMBL,CHEMBL1255422;Antimicrob Agents Chemother 2010;CHEMBL1264572,Inhibition of Candida glabrata CG-C2 wild type FKS,imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1264572_offset_0.json.
EXT-ACT-000092,EXT-FKS-0002,ANIDULAFUNGIN,IC50,13.29,=,ug.mL-1,11.65533874,4.933475,,,Unchecked,,,biochemical,Inhibition of Candida glabrata CG-C3 wild type FKS,enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000051,ChEMBL,CHEMBL1255422;Antimicrob Agents Chemother 2010;CHEMBL1264573,Inhibition of Candida glabrata CG-C3 wild type FKS,imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1264573_offset_0.json.
EXT-ACT-000208,EXT-FKS-0194,CHALCONE,IC50,0.14,=,ug.mL-1,0.67278965,6.172121,,,Unchecked,,,biochemical,"Inhibition of Saccharomyces cerevisiae beta-1,3-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000128,ChEMBL,CHEMBL3611995;Eur J Med Chem 2015;CHEMBL3615005,"Inhibition of Saccharomyces cerevisiae beta-1,3-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL3615005_offset_0.json.
EXT-ACT-000209,EXT-FKS-0409,CHEMBL4751360,IC50,0.2,=,nM,0.0002,9.69897,,,Unchecked,,,biochemical,"Inhibition of fungi 1,3-beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000145,ChEMBL,CHEMBL4715849;J Med Chem 2020;CHEMBL4723014,"Inhibition of fungi 1,3-beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL4723014_offset_0.json.
EXT-ACT-000210,EXT-FKS-0410,CHEMBL4758391,IC50,0.28,=,nM,0.00028,9.552842,,,Unchecked,,,biochemical,"Inhibition of fungi 1,3-beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000145,ChEMBL,CHEMBL4715849;J Med Chem 2020;CHEMBL4723014,"Inhibition of fungi 1,3-beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL4723014_offset_0.json.
EXT-ACT-000211,EXT-FKS-0412,CHEMBL4800505,IC50,0.25,=,nM,0.00025,9.60206,,,Unchecked,,,biochemical,"Inhibition of fungi 1,3-beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000145,ChEMBL,CHEMBL4715849;J Med Chem 2020;CHEMBL4723014,"Inhibition of fungi 1,3-beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL4723014_offset_0.json.
EXT-ACT-000212,EXT-FKS-0411,CHEMBL4759855,IC50,0.9,=,nM,0.0009,9.045757,,,Unchecked,,,biochemical,"Inhibition of fungi 1,3-beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000145,ChEMBL,CHEMBL4715849;J Med Chem 2020;CHEMBL4723014,"Inhibition of fungi 1,3-beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL4723014_offset_0.json.
EXT-ACT-000213,EXT-FKS-0146,CHEMBL410953,IC50,10.0,=,nM,0.01,8.0,,,"1,3-beta-glucan synthase",,Candida glabrata,biochemical,"Inhibition of 1,3-beta-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000151,ChEMBL,CHEMBL1130502;Bioorg Med Chem Lett 1997;CHEMBL615378,"Inhibition of 1,3-beta-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL615378_offset_0.json.
