source_compound_id,preferred_name,smiles_canonical,inchikey,chembl_molecule_type,chembl_max_phase,chembl_black_box_warning,chembl_natural_product,mw_band,chembl_mw_freebase,background_source_note,canonical_smiles_rdkit,inchikey_rdkit,molecular_formula,murcko_scaffold_smiles,ecfp4_on_bits,exact_mw_rdkit,mol_wt_rdkit,clogp_rdkit,mol_mr_rdkit,tpsa_rdkit,hbd_rdkit,hba_rdkit,rotb_rdkit,heavy_atom_count_rdkit,hetero_atom_count_rdkit,ring_count_rdkit,aromatic_ring_count_rdkit,aliphatic_ring_count_rdkit,fsp3_rdkit,formal_charge_rdkit,stereo_centers_total_rdkit,stereo_centers_assigned_rdkit,stereo_centers_unassigned_rdkit
CHEMBL6282,CHEMBL6282,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4C)c3c2F)C1,XPYFMRJMSWBCNG-UHFFFAOYSA-N,Small molecule,,0,0,400-600,405.45,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4C)c3c2F)C1,XPYFMRJMSWBCNG-UHFFFAOYSA-N,C21H25F2N3O3,O=c1ccn(C2CC2)c2cc(N3CCCC3)ccc12,58,405.1863981000001,405.4450000000001,2.994600000000002,106.76500000000006,74.57,2,4,6,29,8,4,2,2,0.5238095238095238,0,3,0,3
CHEMBL6269,SC-58272,Cc1nccn1CCCCc1ccc(CC(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)NCCC2CCCCC2)cc1,WHLPIOSHBKQGHA-KYJUHHDHSA-N,Small molecule,,0,1,400-600,596.82,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,Cc1nccn1CCCCc1ccc(CC(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)NCCC2CCCCC2)cc1,WHLPIOSHBKQGHA-KYJUHHDHSA-N,C33H52N6O4,O=C(CNC(=O)CNC(=O)Cc1ccc(CCCCn2ccnc2)cc1)NCCC1CCCCC1,73,596.4050041439999,596.8170000000001,2.934420000000004,168.1022999999997,151.37,5,6,19,43,10,3,2,1,0.6363636363636364,0,2,2,0
CHEMBL6265,CHEMBL6265,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CCCC4)c3c2F)C1,YTFLEBJQRSWDNB-UHFFFAOYSA-N,Small molecule,,0,0,400-600,419.47,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CCCC4)c3c2F)C1,YTFLEBJQRSWDNB-UHFFFAOYSA-N,C22H27F2N3O3,O=c1ccn(C2CCCC2)c2cc(N3CCCC3)ccc12,57,419.2020481640001,419.4720000000002,3.528800000000002,111.45200000000007,74.57,2,4,6,30,8,4,2,2,0.5454545454545454,0,1,0,1
CHEMBL268887,CHEMBL268887,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(-c4ccc(F)cc4)c3c2F)C1,FXQNQEKWVGWJLT-UHFFFAOYSA-N,Small molecule,,0,0,400-600,445.44,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(-c4ccc(F)cc4)c3c2F)C1,FXQNQEKWVGWJLT-UHFFFAOYSA-N,C23H22F3N3O3,O=c1ccn(-c2ccccc2)c2cc(N3CCCC3)ccc12,59,445.16132622400005,445.4410000000001,3.5420000000000025,115.24200000000003,74.57,2,4,6,32,9,4,3,1,0.30434782608695654,0,1,0,1
CHEMBL6281,CHEMBL6281,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](Cc3cn(-c4ccc(O)cc4)nn3)[C@H]2S1(=O)=O,KPAZRDMJBFRIBA-VNHYZAJKSA-N,Small molecule,,0,0,400-600,406.42,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](Cc3cn(-c4ccc(O)cc4)nn3)[C@H]2S1(=O)=O,KPAZRDMJBFRIBA-VNHYZAJKSA-N,C17H18N4O6S,O=C1[C@@H](Cc2cn(-c3ccccc3)nn2)[C@@H]2N1CCS2(=O)=O,51,406.094705296,406.4200000000001,-0.03990000000000066,95.27440000000003,142.69,2,7,4,28,11,4,2,2,0.4117647058823529,0,3,3,0
CHEMBL267628,CHEMBL267628,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CCCCC4)c3c2F)C1,QAORMUHKVFMXKK-UHFFFAOYSA-N,Small molecule,,0,0,400-600,433.50,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CCCCC4)c3c2F)C1,QAORMUHKVFMXKK-UHFFFAOYSA-N,C23H29F2N3O3,O=c1ccn(C2CCCCC2)c2cc(N3CCCC3)ccc12,58,433.2176982280001,433.49900000000025,3.9189000000000025,116.06900000000007,74.57,2,4,6,31,8,4,2,2,0.5652173913043478,0,1,0,1
CHEMBL6291,BISINDOLYLMALEIMIDE IX,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,DSXXEELGXBCYNQ-UHFFFAOYSA-N,Small molecule,,0,0,400-600,457.56,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,DSXXEELGXBCYNQ-UHFFFAOYSA-N,C25H23N5O2S,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,49,457.157245976,457.55900000000014,3.7169700000000017,133.80979999999997,105.9,3,4,6,33,8,5,4,1,0.16,0,0,0,0
CHEMBL6292,CHEMBL6292,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](Cc3cn(-c4ccc(F)cc4)nn3)[C@H]2S1(=O)=O,QSGHUBRFRCSOPB-VNHYZAJKSA-N,Small molecule,,0,0,400-600,408.41,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](Cc3cn(-c4ccc(F)cc4)nn3)[C@H]2S1(=O)=O,QSGHUBRFRCSOPB-VNHYZAJKSA-N,C17H17FN4O5S,O=C1[C@@H](Cc2cn(-c3ccccc3)nn2)[C@@H]2N1CCS2(=O)=O,52,408.0903688640001,408.41100000000006,0.39359999999999973,93.56760000000003,122.46000000000001,1,6,4,28,11,4,2,2,0.4117647058823529,0,3,3,0
CHEMBL267863,CHEMBL267863,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](Cc3cn(-c4ccc(N)cc4)nn3)[C@H]2S1(=O)=O,QEYUTORLTFVDOI-VNHYZAJKSA-N,Small molecule,,0,0,400-600,405.44,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](Cc3cn(-c4ccc(N)cc4)nn3)[C@H]2S1(=O)=O,QEYUTORLTFVDOI-VNHYZAJKSA-N,C17H19N5O5S,O=C1[C@@H](Cc2cn(-c3ccccc3)nn2)[C@@H]2N1CCS2(=O)=O,52,405.11068970800005,405.4360000000001,-0.1633,98.02200000000003,148.48,2,7,4,28,11,4,2,2,0.4117647058823529,0,3,3,0
CHEMBL263882,CHEMBL263882,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](Cc3cn(CC(N)Cc4ccc(O)cc4)nn3)[C@H]2S1(=O)=O,NRHINWWLSKCJNI-NZHQHIMKSA-N,Small molecule,,0,0,400-600,463.52,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](Cc3cn(CC(N)Cc4ccc(O)cc4)nn3)[C@H]2S1(=O)=O,NRHINWWLSKCJNI-NZHQHIMKSA-N,C20H25N5O6S,O=C1[C@@H](Cc2cn(CCCc3ccccc3)nn2)[C@@H]2N1CCS2(=O)=O,60,463.15255451999997,463.51600000000013,-0.45909999999999807,112.05880000000002,168.70999999999998,3,8,7,32,12,4,2,2,0.5,0,4,3,1
