external_compound_id,preferred_name,compound_family,mechanism_class,target_relevance_tier,activity_relevance_tier,include_in_tier1_fks_set,include_in_tier2_cell_wall_set,use_for_pretraining,direct_fks,broad_antifungal,cell_wall_related,candidate_activity_rows,unique_source_reference_count,has_structure,has_inchikey,known_fks_family,review_priority,recommended_review_action,source_ids,smiles_canonical,inchikey
EXT-FKS-0264,CHEMBL1770504,mixed_fks,fks_glucan_synthase,Tier 1,direct_fks,candidate_review,candidate_review,candidate_review,1,0,0,1,1,yes,yes,no,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL1770504,COCCS(=O)(=O)N1CCN(c2cnn(-c3cccc(Cl)c3)c(=O)c2OC2CCCC2)CC1,UDOAYCQODTVLKO-UHFFFAOYSA-N
EXT-FKS-0265,CHEMBL1770505,mixed_fks,fks_glucan_synthase,Tier 1,direct_fks,candidate_review,candidate_review,candidate_review,1,0,0,1,1,yes,yes,no,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL1770505,O=C(O)CCS(=O)(=O)N1CCN(c2cnn(-c3cccc(Cl)c3)c(=O)c2OC2CCCC2)CC1,DXRRYOCLAKHDQT-UHFFFAOYSA-N
EXT-FKS-0266,CHEMBL1770506,mixed_fks,fks_glucan_synthase,Tier 1,direct_fks,candidate_review,candidate_review,candidate_review,1,0,0,1,1,yes,yes,no,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL1770506,O=c1c(OC2CCCC2)c(N2CCN(S(=O)(=O)c3ccsc3)CC2)cnn1-c1cccc(Cl)c1,JCZBFTNVJOWCRH-UHFFFAOYSA-N
EXT-FKS-0267,CHEMBL1770507,mixed_fks,fks_glucan_synthase,Tier 1,direct_fks,candidate_review,candidate_review,candidate_review,1,0,0,1,1,yes,yes,no,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL1770507,O=c1c(OC2CCCC2)c(N2CCN(S(=O)(=O)c3ccccc3)CC2)cnn1-c1cccc(Cl)c1,RWVHGDPZQYEPMD-UHFFFAOYSA-N
EXT-FKS-0268,CHEMBL1770508,mixed_fks,fks_glucan_synthase,Tier 1,direct_fks,candidate_review,candidate_review,candidate_review,1,0,0,1,1,yes,yes,no,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL1770508,O=c1c(OC2CCCC2)c(N2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)cnn1-c1cccc(Cl)c1,WTHRKRROCOIOLD-UHFFFAOYSA-N
EXT-FKS-0269,CHEMBL1770509,mixed_fks,fks_glucan_synthase,Tier 1,direct_fks,candidate_review,candidate_review,candidate_review,1,0,0,1,1,yes,yes,no,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL1770509,Cn1ccc2ccc(S(=O)(=O)N3CCN(c4cnn(-c5cccc(Cl)c5)c(=O)c4OC4CCCC4)CC3)cc21,MGBBKENJTNFBRL-UHFFFAOYSA-N
EXT-FKS-0270,CHEMBL1770511,mixed_fks,fks_glucan_synthase,Tier 1,direct_fks,candidate_review,candidate_review,candidate_review,1,0,0,1,1,yes,yes,no,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL1770511,O=c1c(OC2CCCC2)c(N2CCN(S(=O)(=O)Cc3ccsc3)CC2)cnn1-c1cccc(Cl)c1,FECPJVBKHNBMLT-UHFFFAOYSA-N
EXT-FKS-0271,CHEMBL1770512,mixed_fks,fks_glucan_synthase,Tier 1,direct_fks,candidate_review,candidate_review,candidate_review,1,0,0,1,1,yes,yes,no,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL1770512,O=c1c(OC2CCCC2)c(N2CCN(S(=O)(=O)CCc3ccccc3)CC2)cnn1-c1cccc(Cl)c1,CBWJSACBEYWLCR-UHFFFAOYSA-N
EXT-FKS-0272,CHEMBL1770513,mixed_fks,fks_glucan_synthase,Tier 1,direct_fks,candidate_review,candidate_review,candidate_review,1,0,0,1,1,yes,yes,no,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL1770513,O=c1c(OC2CCCC2)c(N2CCN(S(=O)(=O)C3Cc4ccccc4C3)CC2)cnn1-c1cccc(Cl)c1,OMTQCRVAFSARLN-UHFFFAOYSA-N
EXT-FKS-0273,CHEMBL1770514,mixed_fks,fks_glucan_synthase,Tier 1,direct_fks,candidate_review,candidate_review,candidate_review,1,0,0,1,1,yes,yes,no,P1_direct_fks_verify_first,"Check source assay, endpoint, target, species, unit, and structure; may enter Tier 1 after confirmation.",ChEMBL:CHEMBL1770514,O=c1c(OC2CCCC2)c(N2CCN(S(=O)(=O)Cc3noc4ccccc34)CC2)cnn1-c1cccc(Cl)c1,SDRFQUFZWKLDMJ-UHFFFAOYSA-N
