dataset_version,compound_source,compound_id,compound_name,smiles,rdkit_parse_ok,murcko_scaffold_smiles,ecfp4_on_bits,exact_mw_rdkit,clogp_rdkit,tpsa_rdkit,hbd_rdkit,hba_rdkit,rotb_rdkit,heavy_atom_count_rdkit,hetero_atom_count_rdkit,ring_count_rdkit,aromatic_ring_count_rdkit,fsp3_rdkit,formal_charge_rdkit,stereo_centers_assigned_rdkit,stereo_centers_unassigned_rdkit,descriptor_pc1,descriptor_pc2
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0145,CHEMBL407924,CCCCCCCCCCCCC[C@@H]1CC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@H](C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](C(C)C)C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N2CC[C@H](O)[C@H]2C(=O)N[C@@H]([C@H](O)CC(N)=O)C(=O)NCC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=O)[C@H](N)CCCN)C(=O)O1,yes,O=C1CCOC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)CNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)CN1,122,1646.9130889119992,-6.247699999999994,643.99,22,26,30,116,40,4,1,0.7236842105263158,0,20,0,-6.820748,0.319573
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0146,CHEMBL410953,CCC(C)CC(C)CCCCCCCCC(=O)NC1C[C@@H](O)[C@@H](O)NC(=O)C2CN(C[C@@H]2O)C(=O)[C@H]([C@H](O)CCNC(=O)[C@@H](N)CCCCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)C2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,yes,O=C1CCCCNC(=O)C2CCN(C2)C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)C2CCCN2C(=O)CN1,105,1178.6798415479996,-3.396600000000015,449.33,17,19,26,83,27,4,1,0.75,0,12,5,-3.63177,-1.368693
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0147,CHEMBL412243,CCCCCCCCOc1ccc(NC(=O)C(CC(=O)O)NC(=O)[C@]2(O)C[C@@H](O)[C@@H](O)[C@H](OC(=O)/C=C/c3ccc(O)c(O)c3)C2)cc1,yes,O=C(CNC(=O)C1CCC[C@H](OC(=O)/C=C/c2ccccc2)C1)Nc1ccccc1,77,672.2894248479998,2.607000000000001,232.17999999999995,8,11,17,48,14,3,2,0.4705882352941176,0,4,1,1.207197,-0.756782
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0148,CHEMBL412790,CCC(C)CC(C)CCCCCCCCC(=O)NC1C[C@@H](O)[C@@H](O)NC(=O)C2CN(C[C@@H]2O)C(=O)[C@H]([C@H](O)CCNC(=O)CCCCCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)C2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,yes,O=C1CCCCNC(=O)C2CCN(C2)C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)C2CCCN2C(=O)CN1,100,1163.668942516,-2.3338000000000023,423.31,16,18,26,82,26,4,1,0.75,0,11,5,-3.222456,-1.447914
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0149,CHEMBL413199,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@@H]4C[C@@H](O)[C@@H](O)NC(=O)C5[C@@H](OC)[C@@H](OC)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,yes,O=C(N[C@@H]1CCCNC(=O)C2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CNC1=O)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,92,1169.5168585600004,-0.8940999999999875,375.65,13,18,16,84,25,7,4,0.4745762711864407,0,14,1,-1.763339,3.064375
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0150,CHEMBL413521,CCC(C)CC(C)CCCCCCCCC(=O)NC1C[C@@H](O)[C@@H](OCCN)NC(=O)C2CN(C[C@@H]2O)C(=O)[C@H]([C@H](O)CCNC(=O)[C@@H](N)CCCCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)C2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,yes,O=C1CCCCNC(=O)C2CCN(C2)C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)C2CCCN2C(=O)CN1,111,1221.722040708,-3.41360000000002,464.35,17,20,29,86,28,4,1,0.7586206896551724,0,12,5,-4.034931,-1.370675
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0151,CHEMBL414288,CCC(C)CC(C)CCCCCCCCC(=O)NC1C[C@@H](O)[C@@H](O)NC(=O)C2CN(C[C@@H]2O)C(=O)[C@H]([C@H](O)CCNC(=O)CCCCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)C2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,yes,O=C1CCCCNC(=O)C2CCN(C2)C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)C2CCCN2C(=O)CN1,100,1149.653292452,-2.723900000000001,423.31,16,18,25,81,26,4,1,0.7454545454545455,0,11,5,-3.181872,-1.426486
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0152,CHEMBL414362,CCC(C)CC(C)CCCCCCCCC(=O)NC1C[C@@H](O)[C@@H](O)NC(=O)C2CN(C[C@@H]2O)C(=O)[C@H]([C@H](O)CCNC(=O)CCCCCCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)C2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,yes,O=C1CCCCNC(=O)C2CCN(C2)C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)C2CCCN2C(=O)CN1,100,1177.6845925799998,-1.943700000000001,423.31,16,18,27,83,26,4,1,0.7543859649122807,0,11,5,-3.262856,-1.469019
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0153,CHEMBL428614,CCC(C)CC(C)CCCCCCCCC(=O)NC1C[C@@H](O)[C@@H](O)NC(=O)C2CN(C[C@@H]2O)C(=O)[C@H]([C@H](O)CCNC(=O)CN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)C2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,yes,O=C1CCCCNC(=O)C2CCN(C2)C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)C2CCCN2C(=O)CN1,99,1107.60634226,-3.894200000000005,423.31,16,18,22,78,26,4,1,0.7307692307692307,0,11,5,-3.044865,-1.362851
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0154,CHEMBL429520,CCC(C)CC(C)CCCCCCCCC(=O)NC1C[C@@H](O)[C@@H](O)NC(=O)C2CN(C[C@@H]2O)C(=O)[C@H]([C@H](O)CCNC(=O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)C2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,yes,O=C1CCCCNC(=O)C2CCN(C2)C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)C2CCCN2C(=O)CN1,100,1121.6219923239998,-3.504100000000004,423.31,16,18,23,79,26,4,1,0.7358490566037735,0,11,5,-3.100111,-1.382588
