method,template,source,mode,pose,vina_kcal,cnn_score,cnn_affinity,diffdock_conf
diffdock,apo_8WL6,diffdock,blind,rank5,,,,-3.27
diffdock,apo_8WL6,diffdock,blind,rank6,,,,-3.27
diffdock,apo_8WL6,diffdock,blind,rank7,,,,-3.28
diffdock,apo_8WL6,diffdock,blind,rank8,,,,-3.29
diffdock,apo_8WL6,diffdock,blind,rank9,,,,-3.33
diffdock,caspo_T2,diffdock,blind,rank1,,,,
diffdock,caspo_T2,diffdock,blind,rank10,,,,-3.23
diffdock,caspo_T2,diffdock,blind,rank11,,,,-3.26
diffdock,caspo_T2,diffdock,blind,rank12,,,,-3.27
diffdock,caspo_T2,diffdock,blind,rank13,,,,-3.33
diffdock,caspo_T2,diffdock,blind,rank14,,,,-3.35
diffdock,caspo_T2,diffdock,blind,rank15,,,,-3.37
diffdock,caspo_T2,diffdock,blind,rank16,,,,-3.38
diffdock,caspo_T2,diffdock,blind,rank17,,,,-3.39
diffdock,caspo_T2,diffdock,blind,rank18,,,,-3.42
diffdock,caspo_T2,diffdock,blind,rank19,,,,-3.42
diffdock,caspo_T2,diffdock,blind,rank1,,,,-2.08
diffdock,caspo_T2,diffdock,blind,rank20,,,,-3.46
diffdock,caspo_T2,diffdock,blind,rank21,,,,-3.49
diffdock,caspo_T2,diffdock,blind,rank22,,,,-3.52
diffdock,caspo_T2,diffdock,blind,rank23,,,,-3.54
diffdock,caspo_T2,diffdock,blind,rank24,,,,-3.54
diffdock,caspo_T2,diffdock,blind,rank25,,,,-3.69
diffdock,caspo_T2,diffdock,blind,rank26,,,,-3.74
diffdock,caspo_T2,diffdock,blind,rank27,,,,-3.79
diffdock,caspo_T2,diffdock,blind,rank28,,,,-3.83
diffdock,caspo_T2,diffdock,blind,rank29,,,,-3.85
diffdock,caspo_T2,diffdock,blind,rank2,,,,-2.4
diffdock,caspo_T2,diffdock,blind,rank30,,,,-3.87
diffdock,caspo_T2,diffdock,blind,rank31,,,,-3.9
diffdock,caspo_T2,diffdock,blind,rank32,,,,-3.9
diffdock,caspo_T2,diffdock,blind,rank33,,,,-4.04
diffdock,caspo_T2,diffdock,blind,rank34,,,,-4.05
diffdock,caspo_T2,diffdock,blind,rank35,,,,-4.08
diffdock,caspo_T2,diffdock,blind,rank36,,,,-4.26
diffdock,caspo_T2,diffdock,blind,rank37,,,,-4.27
diffdock,caspo_T2,diffdock,blind,rank38,,,,-4.31
diffdock,caspo_T2,diffdock,blind,rank39,,,,-4.32
diffdock,caspo_T2,diffdock,blind,rank3,,,,-2.51
diffdock,caspo_T2,diffdock,blind,rank40,,,,-4.33
diffdock,caspo_T2,diffdock,blind,rank4,,,,-2.59
diffdock,caspo_T2,diffdock,blind,rank5,,,,-2.94
diffdock,caspo_T2,diffdock,blind,rank6,,,,-2.97
diffdock,caspo_T2,diffdock,blind,rank7,,,,-3.08
diffdock,caspo_T2,diffdock,blind,rank8,,,,-3.13
diffdock,caspo_T2,diffdock,blind,rank9,,,,-3.2
