compound_id,compound_name,chemotype,organism,serum_tolerance,label_source,confidence,serum_shift,reference_id,direct_pair_evidence
PAPU-0078,Fusacandin analog 6h,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0078,Fusacandin analog 6h,papulacandin,Candida albicans,retained,direct_serum_pair,high,64.1026,PAPER-1996-YEUNG,self
PAPU-0078,Fusacandin analog 6h,papulacandin,Candida albicans,retained,direct_serum_pair,high,64.1026,PAPER-1996-YEUNG,self
PAPU-0078,Fusacandin analog 6h,papulacandin,Candida albicans,retained,direct_serum_pair,high,32.0513,PAPER-1996-YEUNG,self
PAPU-0078,Fusacandin analog 6h,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0079,Fusacandin analog 6i,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0079,Fusacandin analog 6i,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0079,Fusacandin analog 6i,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0079,Fusacandin analog 6i,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0079,Fusacandin analog 6i,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0080,Fusacandin analog 6j,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0080,Fusacandin analog 6j,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0080,Fusacandin analog 6j,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0080,Fusacandin analog 6j,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0080,Fusacandin analog 6j,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0081,Fusacandin analog 6k,papulacandin,Candida albicans,retained,direct_serum_pair,high,8.0128,PAPER-1996-YEUNG,self
PAPU-0081,Fusacandin analog 6k,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0081,Fusacandin analog 6k,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0081,Fusacandin analog 6k,papulacandin,Candida albicans,retained,direct_serum_pair,high,8.0128,PAPER-1996-YEUNG,self
PAPU-0081,Fusacandin analog 6k,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0082,Fusacandin analog 6l,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0082,Fusacandin analog 6l,papulacandin,Candida albicans,retained,direct_serum_pair,high,32.0513,PAPER-1996-YEUNG,self
PAPU-0082,Fusacandin analog 6l,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
