chemotype,compound_id,compound_name,compound_class,organism,strain,reference_id,match_level,pairing_confidence,unit,serum_condition,free_mic,serum_mic,free_activity,serum_activity,serum_tolerance,serum_shift,serum_shift_meaningful,log10_serum_shift,intrinsic_potency_free_mic_uM,intrinsic_potency_pMIC,acyl_tail_type,acyl_tail_geometry
papulacandin,PAPU-0071,Fusacandin analog 6a,fusacandin_derivative,Candida albicans,579a,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.78,100.0,active,inactive,lost,128.2051,False,2.1079,0.7525,6.1235,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0071,Fusacandin analog 6a,fusacandin_derivative,Candida albicans,CCH 442,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,1.56,100.0,active,inactive,lost,64.1026,False,1.8069,1.5051,5.8224,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0071,Fusacandin analog 6a,fusacandin_derivative,Candida albicans,ATCC 38247,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,1.56,100.0,active,inactive,lost,64.1026,False,1.8069,1.5051,5.8224,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0071,Fusacandin analog 6a,fusacandin_derivative,Candida albicans,ATCC 62376,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,3.12,100.0,active,inactive,lost,32.0513,False,1.5058,3.0102,5.5214,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0072,Fusacandin analog 6b,fusacandin_derivative,Candida albicans,ATCC 10231,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,100.0,100.0,inactive,inactive,uninformative,1.0,False,0.0,109.3639,3.9611,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0072,Fusacandin analog 6b,fusacandin_derivative,Candida albicans,579a,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,100.0,100.0,inactive,inactive,uninformative,1.0,False,0.0,109.3639,3.9611,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0072,Fusacandin analog 6b,fusacandin_derivative,Candida albicans,CCH 442,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,100.0,100.0,inactive,inactive,uninformative,1.0,False,0.0,109.3639,3.9611,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0072,Fusacandin analog 6b,fusacandin_derivative,Candida albicans,ATCC 38247,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,100.0,100.0,inactive,inactive,uninformative,1.0,False,0.0,109.3639,3.9611,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0072,Fusacandin analog 6b,fusacandin_derivative,Candida albicans,ATCC 62376,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,100.0,100.0,inactive,inactive,uninformative,1.0,False,0.0,109.3639,3.9611,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0073,Fusacandin analog 6c,fusacandin_derivative,Candida albicans,ATCC 10231,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,12.5,100.0,active,inactive,lost,8.0,False,0.9031,12.1773,4.9145,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0073,Fusacandin analog 6c,fusacandin_derivative,Candida albicans,579a,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,12.5,100.0,active,inactive,lost,8.0,False,0.9031,12.1773,4.9145,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0073,Fusacandin analog 6c,fusacandin_derivative,Candida albicans,CCH 442,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,6.25,100.0,active,inactive,lost,16.0,False,1.2041,6.0886,5.2155,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0073,Fusacandin analog 6c,fusacandin_derivative,Candida albicans,ATCC 38247,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,12.5,100.0,active,inactive,lost,8.0,False,0.9031,12.1773,4.9145,Fusacandin A C-3 lipophilic side chain retained,
