dataset_version,pretraining_compound_id,source_compound_id,compound_name,pretraining_source_class,pretraining_binary_label,label_confidence,sample_weight,background_subtype,compound_family,mw_band,canonical_smiles_rdkit,inchikey,molecular_formula,murcko_scaffold_smiles,ecfp4_on_bits,exact_mw_rdkit,mol_wt_rdkit,clogp_rdkit,mol_mr_rdkit,tpsa_rdkit,hbd_rdkit,hba_rdkit,rotb_rdkit,heavy_atom_count_rdkit,hetero_atom_count_rdkit,ring_count_rdkit,aromatic_ring_count_rdkit,aliphatic_ring_count_rdkit,fsp3_rdkit,formal_charge_rdkit,stereo_centers_total_rdkit,stereo_centers_assigned_rdkit,stereo_centers_unassigned_rdkit
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0428,EXT-FKS-0428,CHEMBL134390,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,150-400,Clc1ccc(C(c2c[nH]cc2-c2ccccc2)n2ccnc2)c(Cl)c1,KXSPLCMPGAOMPO-UHFFFAOYSA-N,C20H15Cl2N3,c1ccc(-c2c[nH]cc2C(c2ccccc2)n2ccnc2)cc1,45,367.06430284000004,368.26700000000005,5.822700000000004,102.15870000000001,33.61,1,1,4,25,5,4,4,0,0.05,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0429,EXT-FKS-0429,CHEMBL134436,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,150-400,c1ccc(C2(Cn3ccnc3)SCc3ccccc32)cc1,WZLDDHRSDSYVLO-UHFFFAOYSA-N,C18H16N2S,c1ccc(C2(Cn3ccnc3)SCc3ccccc32)cc1,39,292.10341951199996,292.40700000000004,4.073700000000002,87.18600000000004,17.82,0,2,3,21,3,4,3,1,0.16666666666666666,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0430,EXT-FKS-0430,CHEMBL134511,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,400-600,Clc1ccc(C(c2c[nH]cc2-c2ccc(Cl)cc2Cl)n2ccnc2)cc1,LTUHZEBCJDMLPQ-UHFFFAOYSA-N,C20H14Cl3N3,c1ccc(-c2c[nH]cc2C(c2ccccc2)n2ccnc2)cc1,43,401.025330488,402.712,6.476100000000003,107.1687,33.61,1,1,4,26,6,4,4,0,0.05,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0431,EXT-FKS-0431,CHEMBL134524,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,150-400,c1ccc(C2(Cn3ccnc3)OCc3ccccc32)cc1,WLSBTGZKERNUCU-UHFFFAOYSA-N,C18H16N2O,c1ccc(C2(Cn3ccnc3)OCc3ccccc32)cc1,39,276.12626313199996,276.339,3.3571000000000017,80.68000000000005,27.05,0,2,3,21,3,4,3,1,0.16666666666666666,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0432,EXT-FKS-0432,CHEMBL134654,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,400-600,Clc1ccc(C2(Cn3ccnc3)OCc3c(Cl)cc(Cl)cc32)c(Cl)c1,XHEXDWWNNBFRFC-UHFFFAOYSA-N,C18H12Cl4N2O,c1ccc(C2(Cn3ccnc3)OCc3ccccc32)cc1,45,411.97037372399996,414.119,5.970700000000003,100.72000000000001,27.05,0,2,3,25,7,4,3,1,0.16666666666666666,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0433,EXT-FKS-0433,CHEMBL134722,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,150-400,Clc1ccc(C2(Cn3ccnc3)OCc3ccccc32)c(Cl)c1,RSQAKYTWULYVRE-UHFFFAOYSA-N,C18H14Cl2N2O,c1ccc(C2(Cn3ccnc3)OCc3ccccc32)cc1,46,344.048318428,345.22900000000004,4.663900000000003,90.70000000000003,27.05,0,2,3,23,5,4,3,1,0.16666666666666666,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0434,EXT-FKS-0434,CHEMBL134745,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,150-400,c1ccc(-c2c[nH]cc2C(c2ccc(-n3cccc3)cc2)n2ccnc2)cc1,ASZIQEBRHUBKFZ-UHFFFAOYSA-N,C24H20N4,c1ccc(-c2c[nH]cc2C(c2ccc(-n3cccc3)cc2)n2ccnc2)cc1,44,364.16879664000004,364.45200000000006,5.306600000000004,111.46570000000001,38.54,1,1,5,28,4,5,5,0,0.041666666666666664,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0435,EXT-FKS-0435,CHEMBL134800,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,150-400,Fc1ccc(C(c2c[nH]cc2-c2ccccc2)n2ccnc2)cc1,VCCSUYJQNJEZSO-UHFFFAOYSA-N,C20H16FN3,c1ccc(-c2c[nH]cc2C(c2ccccc2)n2ccnc2)cc1,42,317.132825732,317.367,4.655000000000004,92.09670000000003,33.61,1,1,4,24,4,4,4,0,0.05,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0436,EXT-FKS-0436,CHEMBL134822,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,400-600,Clc1ccc(-c2c[nH]cc2C(c2ccc(Cl)c(Cl)c2)n2ccnc2)cc1Cl,KEGZFTOUDFMRBB-UHFFFAOYSA-N,C20H13Cl4N3,c1ccc(-c2c[nH]cc2C(c2ccccc2)n2ccnc2)cc1,42,434.9863581360001,437.15700000000015,7.129500000000003,112.17869999999999,33.61,1,1,4,27,7,4,4,0,0.05,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0437,EXT-FKS-0437,CHEMBL134865,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,150-400,Clc1ccc(-c2c[nH]cc2C(c2cccc3ccccc23)n2ccnc2)cc1,MFLFXULGUYILBI-UHFFFAOYSA-N,C24H18ClN3,c1ccc(-c2c[nH]cc2C(c2cccc3ccccc23)n2ccnc2)cc1,47,383.11892525600007,383.88200000000006,6.322500000000005,114.6547,33.61,1,1,4,28,4,5,5,0,0.041666666666666664,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0438,EXT-FKS-0438,CHEMBL134980,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,400-600,Clc1ccc(C(c2c[nH]cc2-c2ccc(Cl)c(Cl)c2)n2ccnc2)c(Cl)c1,VOZKRUYNVQHSHL-UHFFFAOYSA-N,C20H13Cl4N3,c1ccc(-c2c[nH]cc2C(c2ccccc2)n2ccnc2)cc1,45,434.9863581360001,437.15700000000004,7.129500000000003,112.17869999999999,33.61,1,1,4,27,7,4,4,0,0.05,0,1,0,1
