compound_id,name,compound_class,fks_likeness_score
PAPU-0076,Fusacandin analog 6f,fusacandin_derivative,0.2715
PAPU-0136,"4-formyl-2-methoxyphenyl 2,3-di-O-[3-[(E-4-allyloxycinnamoyl)amino]benzoyl]-beta-D-glucopyranoside 19b",papulacandin_d_related_synthetic_analog,0.2694
PAPU-0126,4-formyl-2-methoxyphenyl 3-O-[3-[(E-3-allyloxycinnamoyl)amino]benzoyl]-beta-D-glucopyranoside 2,papulacandin_d_related_synthetic_analog,0.2694
PAPU-0079,Fusacandin analog 6i,fusacandin_derivative,0.2682
PAPU-0056,Papulacandin B 6-tosyl derivative,papulacandin_derivative,0.2673
PAPU-0048,Papulacandin B 10-OCH2CO-thienyl derivative,papulacandin_derivative,0.2671
PAPU-0074,Fusacandin analog 6d,fusacandin_derivative,0.2661
PAPU-0024,Papulacandin B 10-OCH2COOCH2CH(OH)CH2OH derivative,papulacandin_derivative,0.2653
PAPU-0081,Fusacandin analog 6k,fusacandin_derivative,0.2628
PAPU-0080,Fusacandin analog 6j,fusacandin_derivative,0.2628
PAPU-0133,Papulacandin G (Agudelo-Restrepo 2026),papulacandin_family_natural_product,0.2624
PAPU-0046,Papulacandin B 10-OCH2CONHCH3 derivative,papulacandin_derivative,0.2618
PAPU-0051,Papulacandin B 11-morpholinomethylene derivative,papulacandin_derivative,0.2616
PAPU-0091,Fusacandin analog 6u,fusacandin_derivative,0.2598
PAPU-0047,Papulacandin B 10-OCH2CON(CH3)2 derivative,papulacandin_derivative,0.2598
PAPU-0001,Papulacandin A,papulacandin,0.2589
PAPU-0017,"Papulacandin B 10,12-OCH3 derivative",papulacandin_derivative,0.2574
PAPU-0070,Furanocandin,papulacandin_family_natural_product,0.2571
PAPU-0071,Fusacandin analog 6a,fusacandin_derivative,0.2571
PAPU-0075,Fusacandin analog 6e,fusacandin_derivative,0.2565
PAPU-0045,Papulacandin B 10-OCH2CONH2 derivative,papulacandin_derivative,0.2565
PAPU-0083,Fusacandin analog 6m,fusacandin_derivative,0.2561
PAPU-0052,Papulacandin B 11-piperidinomethylene derivative,papulacandin_derivative,0.2558
PAPU-0128,Pestiorosin B,papulacandin_family_natural_product,0.2555
PAPU-0003,Papulacandin C,papulacandin,0.2555
PAPU-0002,Papulacandin B,papulacandin,0.2555
PAPU-0067,Fusacandin B,papulacandin_class_natural_product,0.2553
PAPU-0023,Papulacandin B 10-OCH2COOCH3 derivative,papulacandin_derivative,0.2544
PAPU-0125,4-formyl-2-methoxyphenyl 3-O-[3-[(E-4-allyloxycinnamoyl)amino]benzoyl]-beta-D-glucopyranoside 1,papulacandin_d_related_synthetic_analog,0.2544
PAPU-0072,Fusacandin analog 6b,fusacandin_derivative,0.2543
